"Story","Title","Result","Date","Stability","Duration (s)"
"Product","Add to cart by buy a product with login","SUCCESS","2023-05-08T16:12:14.3156546+07:00[Asia/Bangkok]","0.0","9.1"
"Product","Add to cart by buy a product without login","SUCCESS","2023-05-08T16:12:24.0583994+07:00[Asia/Bangkok]","0.0","0.1"
"Product","Adding product from cart page","SUCCESS","2023-05-08T16:12:24.172942+07:00[Asia/Bangkok]","0.0","0.07"
"Product","Reducing product from cart page","SUCCESS","2023-05-08T16:12:24.2496501+07:00[Asia/Bangkok]","0.0","0.04"
"Product","View product detail","SUCCESS","2023-05-08T16:12:24.2966604+07:00[Asia/Bangkok]","0.0","0.06"
