"Story","Title","Result","Date","Stability","Duration (s)"
"Register to Alta-shop Account","Register without fill the fullname","SUCCESS","2023-05-08T19:04:31.9686822+07:00[Asia/Bangkok]","0.0","7.68"
"Register to Alta-shop Account","Register without fill the email","SUCCESS","2023-05-08T19:04:40.7371754+07:00[Asia/Bangkok]","0.0","9.83"
