"Story","Title","Result","Date","Stability","Duration (s)"
"Register to Alta-shop Account","Register with valid data","SUCCESS","2023-05-08T19:03:59.6495122+07:00[Asia/Bangkok]","0.0","31.58"
"Register to Alta-shop Account","Register without fill the fullname","SUCCESS","2023-05-08T19:04:31.9686822+07:00[Asia/Bangkok]","0.0","7.68"
"Register to Alta-shop Account","Register without fill the email","SUCCESS","2023-05-08T19:04:40.7371754+07:00[Asia/Bangkok]","0.0","9.83"
"Register to Alta-shop Account","Register without fill the password","SUCCESS","2023-05-08T19:04:51.4090141+07:00[Asia/Bangkok]","0.0","21.03"
"Register to Alta-shop Account","Register with existed email","SUCCESS","2023-05-08T19:05:13.1580125+07:00[Asia/Bangkok]","0.0","19.19"
