"Story","Title","Result","Date","Stability","Duration (s)"
"Product","Add to cart by buy a product without login","SUCCESS","2023-05-06T20:20:06.0135436+07:00[Asia/Bangkok]","0.0","0.12"
"Product","Adding product from cart page","SUCCESS","2023-05-06T20:20:06.1485734+07:00[Asia/Bangkok]","0.0","0.07"
"Product","Reducing product from cart page","SUCCESS","2023-05-06T20:20:06.2215923+07:00[Asia/Bangkok]","0.0","0.04"
"Product","View product detail","SUCCESS","2023-05-06T20:20:06.2675999+07:00[Asia/Bangkok]","0.0","0.05"
