"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Alta-shop Account","Login with correct credentials","SUCCESS","2023-05-07T10:40:03.9426708+07:00[Asia/Bangkok]","0.0","3.55"
"Login to Alta-shop Account","Login with wrong password","SUCCESS","2023-05-07T10:40:08.2001677+07:00[Asia/Bangkok]","0.0","2.74"
"Login to Alta-shop Account","Login with wrong email","SUCCESS","2023-05-07T10:40:11.6107592+07:00[Asia/Bangkok]","0.0","3.07"
"Login to Alta-shop Account","Login with invalid email","SUCCESS","2023-05-07T10:40:15.3277027+07:00[Asia/Bangkok]","0.0","2.58"
"Login to Alta-shop Account","Login without input any fields","SUCCESS","2023-05-07T10:40:18.5625391+07:00[Asia/Bangkok]","0.0","23.76"
