"Story","Title","Result","Date","Stability","Duration (s)"
"Register to Alta-shop Account","Register with valid data","SUCCESS","2023-05-07T10:39:35.88245+07:00[Asia/Bangkok]","0.0","5.77"
"Register to Alta-shop Account","Register without fill the fullname","SUCCESS","2023-05-07T10:39:42.3846206+07:00[Asia/Bangkok]","0.0","3.09"
"Register to Alta-shop Account","Register without fill the email","SUCCESS","2023-05-07T10:39:46.2024256+07:00[Asia/Bangkok]","0.0","8.86"
"Register to Alta-shop Account","Register without fill the password","SUCCESS","2023-05-07T10:39:55.803268+07:00[Asia/Bangkok]","0.0","3.32"
"Register to Alta-shop Account","Register with existed email","SUCCESS","2023-05-07T10:39:59.8468074+07:00[Asia/Bangkok]","0.0","3.36"
